Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
69.483,-8.64717458811583,-24.5812022027683,-16.1926404393959,98.975189,-1210.403809,436.061127
69.486,-8.66145788389317,-24.5667255310894,-16.202067223923,98.944008,-1210.46521,436.038239
69.489,-8.65674328318548,-24.5656021325826,-16.2059718028776,98.900528,-1210.52356,436.012726
69.492,-8.67253609891849,-24.5724963806123,-16.1933497759968,98.852142,-1210.564331,435.985107
69.494,-8.68030085143345,-24.5762934863279,-16.2064326302979,98.821892,-1210.623657,435.948059
69.497,-8.66009978485998,-24.5767689954666,-16.2289019404965,98.780174,-1210.663208,435.922729
69.5,-8.64265649877668,-24.6056795448031,-16.2070238648922,98.738464,-1210.707153,435.889374
69.503,-8.63706989440085,-24.6006782592021,-16.2254841249795,98.704323,-1210.764648,435.858154
69.506,-8.62571553490253,-24.6125207578489,-16.2190534886934,98.672859,-1210.815186,435.831757
69.508,-8.65024623802996,-24.6008190780982,-16.2192504072365,98.621674,-1210.869263,435.785156
69.511,-8.64788821945063,-24.5982066690205,-16.2368155365343,98.584999,-1210.932129,435.74292
69.514,-8.64240611399869,-24.5991526192187,-16.2603135082436,98.541199,-1210.982056,435.702179
69.517,-8.64017473710256,-24.6046839991475,-16.2522171552805,98.501595,-1211.027832,435.667572
69.519,-8.64414548548747,-24.6171960283712,-16.2621608171717,98.478096,-1211.072266,435.637909
69.522,-8.65080623301037,-24.6114074489288,-16.2611764614332,98.433922,-1211.11499,435.598694
69.525,-8.6358433350291,-24.6205877741208,-16.2605086873133,98.407753,-1211.147095,435.566315
69.528,-8.64332079490441,-24.6254771845768,-16.2576363455761,98.374466,-1211.186646,435.536407
69.531,-8.65792037193512,-24.6331796223664,-16.2411697303091,98.348503,-1211.229858,435.504883
69.533,-8.65691005984604,-24.6297765376492,-16.2429481126183,98.309555,-1211.258057,435.478027
69.536,-8.63923300640412,-24.6399857157297,-16.2593203345927,98.285759,-1211.298096,435.446625
69.539,-8.64519171283904,-24.6399297542744,-16.2650636853525,98.253113,-1211.326416,435.410065
69.542,-8.6790501733636,-24.627311605152,-16.2565122686913,98.214027,-1211.357178,435.374359
69.544,-8.67202139264349,-24.6533959315805,-16.239564168101,98.18998,-1211.387085,435.337646
69.547,-8.68250755136677,-24.6425551222864,-16.2283509861802,98.159317,-1211.419312,435.311401
69.55,-8.68620828539832,-24.6579160435498,-16.2127012675194,98.141014,-1211.440552,435.272369
69.553,-8.70087621824531,-24.6582406152905,-16.20957783514,98.111931,-1211.470459,435.228333
69.556,-8.71594833023915,-24.6463419130999,-16.2096240654664,98.065361,-1211.489136,435.20282
69.558,-8.71060253615333,-24.6577696737664,-16.1951492472323,98.047966,-1211.514038,435.185577
69.561,-8.72652536498435,-24.6648294015048,-16.1921992919741,98.016068,-1211.535156,435.15744
69.564,-8.73776790556911,-24.6513630138979,-16.1721208258991,97.980972,-1211.560181,435.13382
69.567,-8.74962511021696,-24.649018677384,-16.1646226705899,97.947945,-1211.577271,435.107422
69.569,-8.76621293265601,-24.6526532894732,-16.151378508191,97.929565,-1211.598389,435.077576
69.572,-8.76075082819799,-24.6639505865751,-16.1484961811088,97.900986,-1211.618774,435.058411
69.575,-8.75871030432975,-24.6719169512667,-16.131229356377,97.872597,-1211.629639,435.044891
69.578,-8.77064630090573,-24.6691414983234,-16.1150561056629,97.834129,-1211.649658,435.020721
69.581,-8.78575764850302,-24.6792432893097,-16.1050102825699,97.824509,-1211.66394,435.007812
69.583,-8.80106481834794,-24.6824432984644,-16.0748573265032,97.790298,-1211.67627,434.994537
69.586,-8.80222004640445,-24.6865998493042,-16.0771090760424,97.760483,-1211.686401,434.976562
